epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,2551.66,1.04981,1.03061,0.98439,1,0.96433,0.9917,0.7394,0.93572,0.96816,0.9085,0.000812,0.000812,0.000812
5,2991.59,0.96962,0.90328,0.95032,1,0.97772,0.99412,0.73742,0.92827,0.94333,0.89491,0.000416,0.000416,0.000416
